ID,diagOnly,meta,metaRate,penalty,initAlpha,initD,wGen,initLambda,finalLambda,tauLambda
66,1,0,0.01,0.001,0.01,0.0001,0.0001,1e-05,0.99,0.05
67,0,1,0.01,0.001,0.01,0.0001,0.0001,1e-05,0.99,0.05
68,1,1,0.01,0.001,0.01,0.0001,0.0001,1e-05,0.99,0.05
69,0,0,0.1,0.001,0.01,0.0001,0.0001,1e-05,0.99,0.05
70,1,0,0.1,0.001,0.01,0.0001,0.0001,1e-05,0.99,0.05
71,0,1,0.1,0.001,0.01,0.0001,0.0001,1e-05,0.99,0.05
72,1,1,0.1,0.001,0.01,0.0001,0.0001,1e-05,0.99,0.05
73,0,0,0.001,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
74,1,0,0.001,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
75,0,1,0.001,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
76,1,1,0.001,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
77,0,0,0.01,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
78,1,0,0.01,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
79,0,1,0.01,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
80,1,1,0.01,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
81,0,0,0.1,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
82,1,0,0.1,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
83,0,1,0.1,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
84,1,1,0.1,0.0001,0.0001,0.001,0.0001,1e-05,0.99,0.05
85,0,0,0.001,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
86,1,0,0.001,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
87,0,1,0.001,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
88,1,1,0.001,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
89,0,0,0.01,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
90,1,0,0.01,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
91,0,1,0.01,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
92,1,1,0.01,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
93,0,0,0.1,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
94,1,0,0.1,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
95,0,1,0.1,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
96,1,1,0.1,0.001,0.0001,0.001,0.0001,1e-05,0.99,0.05
97,0,0,0.001,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
98,1,0,0.001,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
99,0,1,0.001,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
100,1,1,0.001,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
101,0,0,0.01,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
102,1,0,0.01,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
103,0,1,0.01,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
104,1,1,0.01,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
105,0,0,0.1,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
106,1,0,0.1,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
107,0,1,0.1,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
108,1,1,0.1,0.0001,0.001,0.001,0.0001,1e-05,0.99,0.05
109,0,0,0.001,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
110,1,0,0.001,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
111,0,1,0.001,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
112,1,1,0.001,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
113,0,0,0.01,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
114,1,0,0.01,0.001,0.001,0.001,0.0001,1e-05,0.99,0.05
