Date,CS_Commo,CS_Bond,Fidelity_Bond,Pictet_Gold,Vanguard_Equity
2015-01-06,0.0016708441648175,0.00471193459332015,-0.0125404724771982,0.00758563412956713,-0.00894547108702678
2015-01-07,-0.00502093105009968,0.000135332037359738,-0.00869098354741984,-0.00228003000628567,0.0118382785899733
2015-01-08,0,0.00219883298166091,0.00887124492690749,0.00134791870685801,0.0177615145594781
2015-01-09,0,-0.00172080641051604,0.00789950247892403,0.008666101899164,-0.00844376751429282
2015-01-13,-0.0220534807148574,0.00177481521396425,-0.0149538864409297,0.0014370768229714,-0.0106024062519458
2015-01-14,0.0102389973010943,0.000935689419402898,-0.00290856413009609,-0.00184804980728253,-0.00580147738043004
2015-01-15,-0.00681433641973017,0.000143874541648027,-0.0027344835195969,-0.0106411459190264,-0.00925506565635715
2015-01-16,0.0152674721307886,0.000449474571801667,-0.00990652020279194,0.0139242103227088,0.0133410928466198
2015-01-20,-0.0169783365344179,0.00202910851724413,0.0124589372676302,0.0162555646885701,0.00155475168699613
2015-01-21,0.0102215540715382,-0.00273037712285738,0.00779907825487568,0.0189664299879289,0.00486306903628713
2015-01-22,-0.0102215540715381,-0.0106784621929732,-0.0165774813713805,-0.00178147315523251,0.0151317632455254
2015-01-23,-0.00343053509678914,0.00212487821042271,0.00567819091334484,0.00128693776114697,-0.00547600357434014
2015-01-26,-0.0034423441909729,0.00106074833494771,-0.00567819091334484,0.00345662286791075,0.00258377638534748
2015-01-27,0.00515908281002742,-0.00158700683074305,0.00841417073221956,-0.00960926706600565,-0.013466431897629
2015-01-28,-0.0103449198423929,-6.35326898593294e-05,-0.00694574168715312,0.00367629208322533,-0.0135420415451073
2015-01-29,-0.0139618323817685,-0.00019970044998971,0.00201557557929452,-0.00278081418646291,0.00958439385079131
2015-01-30,0.0191476694141341,0.000934617668788229,0.00420130310183087,-0.014021261252856,-0.0130530440143688
2015-02-02,0.00515908281002742,0.000426185959543215,-0.00658378384025877,-0.00789797544113837,0.0128922680018035
2015-02-03,0.0254035676001395,-0.00522650065131942,-0.000367039827941431,0.00830132323323587,0.0143144655180127
2015-02-04,-0.0219789067187753,-0.00416435154920155,0.00786181944952436,-0.00657464564208536,-0.00386438108282362
2015-02-05,0.00851068966790883,0.00314313384079925,-0.00364897321504665,0.00394997221931407,0.0104469899646554
2015-02-06,0.00169348050633293,0.00202318529204623,0.0047410737968345,-0.00842516276381383,-0.00315424507130189
2015-02-09,0.00842464965925162,-0.00316417003991965,0.0146278003267739,-0.0128239767183125,-0.00422119664362442
2015-02-10,-0.0135137191667228,-0.00304595229346877,-0.00395186431319988,0.007714103566042,0.0106767259246885
2015-02-12,0.0084674510990986,-8.24519374381562e-05,0.0153601876877073,-0.00338687653769785,0.0101497292920469
2015-02-13,0.0134005355374821,-0.00262368622255633,-0.00890160764829542,0.000308372310610455,0.00418594446005789
2015-02-17,-0.00500418058457573,0.00111086130707932,-0.00537924911973608,-0.00649587271544533,0.0017518553532303
2015-02-18,-0.00839635495290639,-0.000816959761980722,0.00894940642844138,-0.0145881507578261,-0.000308928022228324
2015-02-19,0,0.00229313718963886,-0.00357015730870543,0.00220183575194127,-0.000875814692390938
2015-02-20,-0.00337838159162719,-0.000742400738004297,0.00232205159261408,-0.00209687642358463,0.00621710416157321
