Date,y_t,y_t_1,US10Y,CAC40,DAX,DOWJONES,EURO100,NIKKEI225,SP500,VIX,GOLD,OIL,SILVER,EURCHF,EURGBP,EURUSD,GBPUSD,USDJPY
2015-01-08,0.0060359022349809,-0.00080366679529443,0.000284342998008644,0.00713257290015946,0.005110601100739,0.012179915457818,0.00676814913569474,0.000126782283179658,0.000126782283179658,0.000126782283179658,-0.00716087912050434,0.0149102365704425,-0.00561720422368961,-0.000358000694848135,0.00260396869203108,-0.00534636229335998,-0.00791811034503924,-0.00631679812967589
2015-01-09,0.00128020609065583,0.0060359022349809,-6.86271145999574e-05,0.0352267096601533,0.0330092098879646,0.0182212901678745,0.0325017578803296,0.0165495363854252,0.0165495363854252,0.0165495363854252,-0.00181889425921653,0.00287354458176636,-0.00967720037958742,0,-0.00145432303944572,-0.00331993071270107,-0.00201087500456778,0.00517734244265243
2015-01-13,-0.00887957627415945,0.00128020609065583,-0.000863422345633895,-0.019225054746888,-0.0194103683104494,-0.00956656813371808,-0.0160520918837554,0.00178268701125394,0.00178268701125394,0.00178268701125394,0.00626959315262247,-0.0088523478989107,0.00213825416717361,2.49809520254572e-05,-0.00213428157671721,-0.0033793093875526,-0.00129886792892407,0.00420777677895913
2015-01-14,0.000123319080537707,-0.00887957627415945,-9.81633635482824e-05,0.0262632571324275,0.0298651563757346,-0.00699780978760537,0.0250478426346967,-0.00641787908331992,-0.00641787908331992,-0.00641787908331992,0.00129720164116574,-0.00391477233232361,0.0350600377145329,-0.000174868120738076,-0.00213928486027621,-0.00330602244732687,-0.00126021719684202,0.000980848979537823
2015-01-15,-0.00586023139461252,0.000123319080537707,-0.00052042676168112,-0.0157492873811228,-0.0125438854784297,-0.0106499720242094,-0.013757982508905,-0.0172211094067819,-0.0172211094067819,-0.0172211094067819,8.09940430982593e-05,0.0549041351455568,-0.0099176896340737,0,-0.00449843313686237,-0.00450915023808039,0,-0.00451464620602568
2015-01-16,0.00661514593382539,-0.00586023139461252,-0.000963012534626311,0.0233932525082964,0.0217170887986444,-0.00612293359314571,0.0214181461714655,0.0184486232621282,0.0184486232621282,0.0184486232621282,0.0242498596499685,-0.0470898778026247,0.00687657377488142,0,-0.00360044523386052,0.000647592282249614,0.00421119171626436,-0.00344409214448066
2015-01-20,0.00306400512520453,0.00661514593382539,0.00110051007952959,0.0129660754592222,0.0133820449706871,0.0109588736813402,0.0128543593010435,-0.0143963911782263,-0.0143963911782263,-0.0143963911782263,0.00960038308459197,0.051412185698077,0.0382673372177059,-0.18880488665868,-0.0091038998659054,-0.0126832676214445,-0.003497554326436,-0.0107914889472696
2015-01-21,0.00782395084555451,0.00306400512520453,-0.000284837325437089,0.0150473291074021,0.00875019458857563,0.000208991739559644,0.0126339443054099,0.0293409223663546,0.0293409223663546,0.0293409223663546,0.0134574215357822,-0.0483897524492289,0.0116574202599542,0.027431654460671,0.00639647112705811,0.00275686465539732,-0.00344666874681163,0.0012921216611602
2015-01-22,-0.00482544150911978,0.00782395084555451,0.00138413761379703,0.00868900322677692,0.00409611858746978,0.00222693983453612,0.00867153262954168,-0.00495402368837831,-0.00495402368837831,-0.00495402368837831,-0.00038641371394239,0.0295232237611218,0.0128441109776927,-0.0101493702680414,-0.00810038398442242,-0.0044096159966589,0.00379464423620917,0.0079286253533892
2015-01-23,3.66936427570481e-05,-0.00482544150911978,-0.00116804669761472,0.0150440637933704,0.0131557847076272,0.0146858138482626,0.0144849921769527,0.00280495781936112,0.00280495781936112,0.00280495781936112,0.00539625134967614,-0.0312491788821355,0.00914448485080746,-0.010723829886814,0.00582062400013288,0.00590703241512319,-0.000166379244705091,-0.00667208365826632
