Date,EURCHF,EURGBP,EURUSD,GBPUSD,USDJPY
2003-12-02,0.00238041737519592,0.00330056983277668,0.0103069094909514,0.0067940567116785,-0.00403850937118788
2003-12-03,0.00109180833555319,0.00386073261411571,0.00280935838448705,-0.00127919925239361,-0.00396259089316324
2003-12-04,-0.00122033478004603,0.00156862777262643,-0.00347382095761591,-0.00429367644889452,-0.000277102093475523
2003-12-05,-0.00360546360183521,0.00170842866155011,0.00873670305172058,0.00718342517506397,-0.00602154767716737
2003-12-08,-0.00129082243300872,0.00227337409647232,0.00270906497319052,0.000641418340944183,-0.00195320708669732
2003-12-09,-0.00096921146087389,-0.00398180275802253,0.00244708327603312,0.00643749198392635,-0.0029837597894126
2003-12-10,0.000193917456410592,-0.00199686273741789,-0.00482716188114168,-0.00322391182507789,0.0119739773965612
2003-12-11,0.00219510708582871,-0.000857020478109192,0.0027098112015083,0.00367756944737528,-0.0036974898845207
2003-12-12,-0.000128990648356813,0.00470454927152806,0.00448435270979592,0.000629166495398697,-0.00278218667664557
2003-12-15,0.00173997143946343,0.0017052725462492,0.00333266565755805,0,0.000557032792762025
2003-12-16,-0.00115964450567991,-0.00341345801498902,0.000160701763844631,0.00393888167881456,-0.00213701358912263
2003-12-17,0.0022536309077827,0.00128141257656635,0.00647713776818945,0.00642385225580946,-0.00120996804379762
2003-12-18,-0.00199581588862967,-0.00242182610002022,0.00168862074364662,0.00311210581121356,0.0025113253328397
2003-12-19,-6.44475236262223e-05,-0.00171306251742798,-0.00306434265978771,-0.00328884130321913,0.000557178689390607
2003-12-22,0.00488621262753881,0.00370793351240694,0.0011281509529344,-0.000511689393609752,-0.00204461969989976
2003-12-23,-0.000320728698345771,0.00042695510504121,8.71003566019763e-05,-5.32806119914921e-05,-0.000558328700138904
2003-12-24,-0.0037923876402048,-0.00199401860686428,0.00426186275643282,0.00644276462413263,-0.00158366047739206
2003-12-25,0,0.000855066319733255,-0.000398377260497479,-0.000106448557990078,-0.000186517483058191
2003-12-26,0.00289379964649257,-0.00242458936433892,-0.00129341010001978,-0.00191575692065956,0.00195630045055548
2003-12-29,0.00134757937420658,0.00441690537841002,0.00417324985680711,0.00140081398681614,-0.00372955210857712
2003-12-30,-0.00038483741094535,0.00283929776206956,0.00519398264364399,0.00197157217594869,-0.000841119615580987
2003-12-31,0.000128295593222273,-0.00255500493854853,0.00326823675807499,0.00606369673223731,0.00410527725233979
2004-01-01,0.000641231185806337,0.00113636375864801,-0.000641984198092596,-0.00201957697832229,-0.000931523101092186
2004-01-02,-0.000962001036190952,-0.00555201084498936,0,0.00474225607322269,-0.00364128115559021
2004-01-05,0.00288323121408471,0.00171159648118135,0.0083138183211616,0.00750760907046661,-0.0062867295372333
2004-01-06,0.00255591193454429,-0.00471395773285053,0.00268025873604358,0.00776522696730565,-9.40838702907317e-05
2004-01-07,0,-0.00459243057421015,-0.00631498535413645,-0.00192905959114489,-0.000470815877006169
2004-01-08,-0.000255297422882675,0.00115008638323731,0.0105470264084913,0.00881903104187127,-9.42029677569708e-05
2004-01-09,-0.000319213460749961,-0.00533027265043975,0.00654916341455015,0.00771329205594515,0.00385433144611425
2004-01-12,-0.00121394130487719,-0.00361768718123925,-0.00921573342204641,-0.00134824764500034,0.000187597336135084
2004-01-13,-0.00300925411965302,0.00260605330639486,0.00352334706823757,0.00173668204288242,-0.0033828260671956
2004-01-14,-0.000320666990081577,-0.00188146809970551,-0.0106075032575758,-0.00929334922584139,0
2004-01-15,0.00460771325906085,-0.000289771082873708,-0.0039640492126877,-0.00356533133540557,0.000282330251800926
2004-01-16,0.000893484008639068,-0.00145011626339386,-0.0162362060993703,-0.0144420668307921,0.00450665495411083
2004-01-19,0.00121130995653179,0.00463298932081737,-0.0035520255832717,-0.00877652111748256,0.0044864361005652
2004-01-20,-0.00127510377493244,-0.000577951179214393,0.0188434137398962,0.0197202251624391,-0.00214725374739283
2004-01-21,-0.000382848396712946,-0.00202546365541856,0.00554181732877699,0.00766841280086134,-0.00177729808514083
2004-01-22,0.000446642215113833,-0.000869313297283901,0.00520405474643749,0.00591922909897207,-0.00638680687025408
2004-01-23,-0.00242703063506275,-0.00116026118890057,-0.0112241790366284,-0.00866468463878635,0.00582492260222271
2004-01-26,0.00198038841994908,-0.00217912485446817,-0.00758408854275862,-0.00701221715959876,-0.0037541292683177
2004-01-27,-0.000127648710921305,0.00551125397883003,0.0118584804590663,0.00640912011220082,-0.00679312940636823
2004-01-28,-0.00121347611888852,-0.00929968922529884,-0.0155480197702378,-0.00635457656591465,0.00472233607246323
2004-01-29,-0.00179096888092158,-0.00277757652442167,-0.00257202574428879,0.0010896963116499,-0.00207501488301795
2004-01-30,0.0033235362306996,0.00029274004892892,0.00466435554441902,0.00449817032220519,-0.00179561542845682
2004-02-02,0.000191405876744751,-0.00161113180218726,-0.00281353557160953,-0.00202419838140155,-0.00189361921660698
2004-02-03,-0.000574327573937543,0.000439657074569503,0.0081641084095523,0.0089111343057844,-0.00047391820853768
2004-02-04,0.000446727726884248,0.00248774548438954,0.000401197856141318,-0.00310182194493801,-0.000189683294610888
2004-02-05,0.000765354970710354,0,0.00254858981988837,0.00218295939720319,0.00180019948753908
2004-02-06,-0.000255053243746941,0.00452060558405531,0.0101338355891514,0.00613349799448904,-0.00180019948753911
2004-02-09,-0.000318908061509428,-0.00730143430618162,-0.000469400750839107,0.00658017253911839,0.00350265900070464
2004-02-10,0.00127502248562229,-0.00529024011166533,-0.000710821138637008,0.00408102174848199,-0.00227055913753407
